No.,Kabupaten/Kota,Province,Institution,item_title, quantity ,unit,Realisasi Program,Year,Valid,Tautan,item_title,item_title_english
11,Badung,Bali,QNET,Kolaborasi Lanjutkan Upaya Pelestarian Hutan Mangrove di Bali ,2000,seedlings,2000 bibit mangrove ditanam,2022,√,https://swa.co.id/read/420591/kolaborasi-lanjutkan-upaya-pelestarian-hutan-mangrove-di-bali,Kolaborasi Lanjutkan Upaya Pelestarian Hutan Mangrove di Bali ,Collaboration to Continue Mangrove Forest Conservation Efforts in Bali
12,Badung,Bali,Maybank Indonesia,"Songsong Ajang Marathon, Maybank Indonesia (BNII) Tebar Bibit Pohon 2.500 Pucuk",2500,seedlings,2500 bibit mangrove ditanam,2024,√,https://swa.co.id/read/449847/songsong-ajang-marathon-maybank-indonesia-bnii-tebar-bibit-pohon-2500-pucuk,"Songsong Ajang Marathon, Maybank Indonesia (BNII) Tebar Bibit Pohon 2.500 Pucuk","Ahead of Marathon Event, Maybank Indonesia (BNII) Distributes 2,500 Tree Seedlings"
13,Badung,Bali,"Komunitas lingkungan Tukad Mati Lestari,
Pemerintah Provinsi Bali dan Sampoerna Retail Community (SRC)",Tukad Mati Lestari dan SRC Kolaborasi Tanam Mangrove di Badung ,1111,seedlings,1111 bibit mangrove ditanam,2024,√,https://news.detik.com/berita/d-7555442/tukad-mati-lestari-dan-src-kolaborasi-tanam-mangrove-di-badung,Tukad Mati Lestari dan SRC Kolaborasi Tanam Mangrove di Badung ,Tukad Mati Lestari and SRC Collaborate to Plant Mangroves in Badung
14,Kota Denpasar,Bali,Bank IBK Indonesia KC Denpasar,"Bank IBK Indonesia KC Denpasar Tanam 2.000 Bibit Mangrove, Serahkan Bantuan Kano untuk Dukung Ekowisata Batu Lumbang ",2000,seedlings,2000 bibit mangrove ditanam,2025,√,https://updatebali.com/bank-ibk-indonesia-kc-denpasar-tanam-2-000-bibit-mangrove-serahkan-bantuan-kano-untuk-dukung-ekowisata-batu-lumbang/,"Bank IBK Indonesia KC Denpasar Tanam 2.000 Bibit Mangrove, Serahkan Bantuan Kano untuk Dukung Ekowisata Batu Lumbang ","Bank IBK Indonesia Denpasar Branch Plants 2,000 Mangroves, Donates Canoes to Support Batu Lumbang Ecotourism"
15,Kota Denpasar,Bali,PT. Dewata Energi Bersih (DEB),"Bentuk CSR Terhadap Lingkungan Denpasar, PT. DEB Tanam 500 Bibit Mangrove Tahap Awal di Sidakarya ",500,seedlings,500 bibit mangrove ditanam,2022,√,https://baliportalnews.com/2022/07/bentuk-csr-terhadap-lingkungan-denpasar-pt-deb-tanam-500-bibit-mangrove-tahap-awal-di-sidakarya/,"Bentuk CSR Terhadap Lingkungan Denpasar, PT. DEB Tanam 500 Bibit Mangrove Tahap Awal di Sidakarya ","CSR Contribution to Denpasar’s Environment, PT. DEB Plants 500 Mangroves in Sidakarya (First Phase)"
16,Kota Denpasar,Bali,Astra Credit Companies,"Dukung Keberlanjutan, ACC Tanam Mangrove di Bali",1000,seedlings,1000 bibit mangrove ditanam,2025,√,https://www.acc.co.id/info-terkini/dukung-keberlanjutan-acc-tanam-mangrove-di-bali,"Dukung Keberlanjutan, ACC Tanam Mangrove di Bali","Supporting Sustainability, ACC Plants Mangroves in Bali"
17,Kota Denpasar,Bali,Bakti Lingkungan Djarum Foundation,"Kopdar, Bukan Sekadar Ngumpul dan Ngobrol, tetapi Mengajak Sadar Lingkungan ",5000,seedlings,5000 bibit mangrove ditanam,2024,√,https://www.suaramerdeka.com/nasional/0413575685/kopdar-bukan-sekadar-ngumpul-dan-ngobrol-tetapi-mengajak-sadar-lingkungan,"Kopdar, Bukan Sekadar Ngumpul dan Ngobrol, tetapi Mengajak Sadar Lingkungan ","“Kopdar”: Not Just Gathering and Chatting, but Encouraging Environmental Awareness"
18,Badung,Bali,B. Braun Indonesia dan Wastehub,Aksi B. Braun Indonesia dan Wastehub Tanam Mangrove Perkuat Komitmen Lestari ,600,seedlings,600 bibit mangrove ditanam,2024,√,https://swa.co.id/read/453526/aksi-b-braun-indonesia-dan-wastehub-tanam-mangrove-perkuat-komitmen-lestari,Aksi B. Braun Indonesia dan Wastehub Tanam Mangrove Perkuat Komitmen Lestari ,B. Braun Indonesia and Wastehub Plant Mangroves to Strengthen Sustainability Commitment
19,Kota Denpasar,Bali,Garuda Indonesia dan JejakIn,"Garuda Gandeng Jejakin Kurangi Emisi Karbon, Tanam 3.000 Mangrove di Jakarta",164,seedlings,164 bibit mangrove ditanam ,2024,√,https://bisnis.espos.id/garuda-gandeng-jejakin-kurangi-emisi-karbon-tanam-3-000-mangrove-di-jakarta-1579700,"Garuda Gandeng Jejakin Kurangi Emisi Karbon, Tanam 3.000 Mangrove di Jakarta","Garuda Partners with Jejakin to Cut Carbon Emissions, Plants 3,000 Mangroves in Jakarta"
20,Kota Denpasar,Bali,Telkomsel bersama Jejak.In,"Melanjutkan Program Carbon Offset, Inisiatif Telkomsel Jaga Bumi Tanam 15.060 Pohon di Kawasan Hutan Mangrove Indonesia ",500,seedlings,500 bibit mangrove ditanam,2023,√,https://www.telkomsel.com/about-us/news/melanjutkan-program-carbon-offset-inisiatif-telkomsel-jaga-bumi-tanam-15060-pohon-di,"Melanjutkan Program Carbon Offset, Inisiatif Telkomsel Jaga Bumi Tanam 15.060 Pohon di Kawasan Hutan Mangrove Indonesia ","Continuing Carbon Offset Program, Telkomsel Initiative Protects Earth by Planting 15,060 Trees in Indonesian Mangrove Forests"
21,Badung,Bali,Telkomsel bersama Jejak.In,"Melanjutkan Program Carbon Offset, Inisiatif Telkomsel Jaga Bumi Tanam 15.060 Pohon di Kawasan Hutan Mangrove Indonesia ",2560,seedlings,2560 bibit mangrove ditanam,2023,√,https://www.telkomsel.com/about-us/news/melanjutkan-program-carbon-offset-inisiatif-telkomsel-jaga-bumi-tanam-15060-pohon-di,"Melanjutkan Program Carbon Offset, Inisiatif Telkomsel Jaga Bumi Tanam 15.060 Pohon di Kawasan Hutan Mangrove Indonesia ","Continuing Carbon Offset Program, Telkomsel Initiative Protects Earth by Planting 15,060 Trees in Indonesian Mangrove Forests"
22,Badung,Bali,CGS-CIMB Sekuritas Indonesia dan Seasoldier,"Tanam 5.000 Mangrove di Lima Wilayah, CGS-CIMB: Ayo Buat Satu Bumi Ini Lebih Hijau! ",1000,seedlings,1000 bibit mangrove ditanam,2022,√,https://www.netralnews.com/tanam-5000-mangrove-di-lima-wilayah-cgs-cimb-ayo-buat-satu-bumi-ini-lebih-hijau/amM2M21kWThBRThBdmJwR1RXTUdNQT09,"Tanam 5.000 Mangrove di Lima Wilayah, CGS-CIMB: Ayo Buat Satu Bumi Ini Lebih Hijau! ","Planting 5,000 Mangroves in Five Areas, CGS-CIMB: Let’s Make This One Earth Greener!"
23,Badung,Bali,PT Bussan Auto Finance bersama LindungiHutan,BAF Donasikan 20.000 Bibit Pohon Bakau di Enam Pesisir Pantai di Indonesia ,3334,seedlings,3334 bibit mangrove ditanam,2023,√,https://kalteng.co/bisnis/baf-donasikan-20-000-bibit-pohon-bakau-di-enam-pesisir-pantai-di-indonesia/,BAF Donasikan 20.000 Bibit Pohon Bakau di Enam Pesisir Pantai di Indonesia ,"BAF Donates 20,000 Mangrove Seedlings Across Six Coastal Areas in Indonesia"
24,Tangerang,Banten,PT Mandiri Sekuritas dan LindungiHutan,Mandiri Sekuritas Tanam 1.001 Mangrove,1001,seedlings,1001 bibit mangrove ditanam,2023,√,https://lestari.kompas.com/read/2023/07/26/191326286/mandiri-sekuritas-tanam-1001-mangrove,Mandiri Sekuritas Tanam 1.001 Mangrove,"Mandiri Sekuritas Plants 1,001 Mangroves"
25,Tangerang,Banten,AEON Environmental Foundation,AEON Environmental Foundation Tanam 1.000 Pohon Bakau ,1000,seedlings,1000 bibit mangrove ditanam,2025,√,https://swa.co.id/read/461760/aeon-environmental-foundation-tanam-1000-pohon-bakau,AEON Environmental Foundation Tanam 1.000 Pohon Bakau ,"AEON Environmental Foundation Plants 1,000 Mangroves"
26,Tangerang,Banten,"Perhutani, 
Penjaga Laut, 
EcoDefender, 
dan Yayasan Econusa",Begini Peran J Trust Bank Lawan Perubahan Iklim ,3000,seedlings,3000 bibit mangrove ditanam,2024,√,https://infobanknews.com/begini-peran-j-trust-bank-lawan-perubahan-iklim/,Begini Peran J Trust Bank Lawan Perubahan Iklim ,This Is How J Trust Bank Fights Climate Change
27,Tangerang,Banten,Bank BJB,"Peduli Lingkungan Hidup, bank bjb Tanam 10.000 di Kabupaten Tangerang ",10000,seedlings,10000 bibit mangrove ditanam,2024,√,https://bankbjb.co.id/news/peduli-lingkungan-hidup-bank-bjb-tanam-10-000-di-kabupaten-tangerang,"Peduli Lingkungan Hidup, bank bjb Tanam 10.000 di Kabupaten Tangerang ","Caring for the Environment, Bank bjb Plants 10,000 Trees in Tangerang Regency"
28,Tangerang,Banten,PT. American Standard Indonesia Under Lixil Corporation,Perhutani Bersama PT. American Standard Indonesia Under Lixil Corporation Lakukan Penanaman Pohon Mangrove Di Pesisir Tangerang Banten,2207,seedlings,2207 bibit mangrove ditanam,2022,√,https://www.perhutani.co.id/perhutani-bersama-pt-american-standard-indonesia-under-lixil-corporation-lakukan-penanaman-pohon-mangrove-di-pesisir-tangerang-banten/,Perhutani Bersama PT. American Standard Indonesia Under Lixil Corporation Lakukan Penanaman Pohon Mangrove Di Pesisir Tangerang Banten,Perhutani and PT. American Standard Indonesia Under Lixil Corporation Plant Mangroves in Tangerang’s Coastal Area
29,Tangerang,Banten,PT Pertamina International Shipping (PIS),Pertamina International Shipping Tanam 10 Ribu Mangrove di Kawasan Pesisir,1000,seedlings,1000 bibit mangrove ditanam,2024,√,https://swa.co.id/read/453694/pertamina-international-shipping-tanam-10-ribu-mangrove-di-kawasan-pesisir,Pertamina International Shipping Tanam 10 Ribu Mangrove di Kawasan Pesisir,"Pertamina International Shipping Plants 10,000 Mangroves in Coastal Areas"
30,Tangerang,Banten,PLN Indonesia Power,PLN Indonesia Power Dukung Taman Mangrove Festival 2024 di Ketapang Urban Aquaculture ,3000,seedlings,3000 bibit mangrove ditanam,2025,√,https://www.jpnn.com/news/pln-indonesia-power-dukung-taman-mangrove-festival-2024-di-ketapang-urban-aquaculture,PLN Indonesia Power Dukung Taman Mangrove Festival 2024 di Ketapang Urban Aquaculture ,PLN Indonesia Power Supports Mangrove Festival 2024 in Ketapang Urban Aquaculture
31,Tangerang,Banten,PT Honda Trading Indonesia,PT Honda Trading Indonesia lakukan CSR dengan penanaman 1.500 mangrove di Tangerang ,1500,seedlings,1500 bibit mangrove ditanam,2024,√,https://radarkaur.disway.id/read/652231/pt-honda-trading-indonesia-lakukan-csr-dengan-penanaman-1500-mangrove-di-tangerang,PT Honda Trading Indonesia lakukan CSR dengan penanaman 1.500 mangrove di Tangerang ,"PT Honda Trading Indonesia CSR: Planting 1,500 Mangroves in Tangerang"
32,Tangerang,Banten,PT Suvarna Sutera,"Restorasi Lingkungan, Alam Sutera Tanam 10 Ribu Mangrove di Ketapang Tangerang ",10000,seedlings,10000 bibit mangrove ditanam,2024,√,https://www.tangerangnews.com/kabupaten-tangerang/read/49548/Restorasi-Lingkungan-Alam-Sutera-Tanam-10-Ribu-Mangrove-di-Ketapang-Tangerang,"Restorasi Lingkungan, Alam Sutera Tanam 10 Ribu Mangrove di Ketapang Tangerang ","Environmental Restoration, Alam Sutera Plants 10,000 Mangroves in Ketapang, Tangerang"
33,Tangerang,Banten,Waruna Group dan LindungiHutan,Waruna Group Tanam 2.000 Pohon Mangrove di Tangerang untuk Konservasi Lingkungan ,2000,seedlings,2000 bibit mangrove ditanam,2025,√,https://www.viralsumsel.com/waruna-group-tanam-2-000-pohon-mangrove-di-tangerang-untuk-konservasi-lingkungan/,Waruna Group Tanam 2.000 Pohon Mangrove di Tangerang untuk Konservasi Lingkungan ,"Waruna Group Plants 2,000 Mangroves in Tangerang for Environmental Conservation"
34,Tangerang,Banten,PT Wahana Ottomitra Multiartha Tbk,WOM Finance Berkomitmen pada Konservasi Lingkungan dengan Penanaman Mangrove di Pantai Tanjung Pasir ,1000,seedlings,1000 bibit mangrove ditanam,2024,√,https://lensabanten.co.id/wom-finance-berkomitmen-pada-konservasi-lingkungan-dengan-penanaman-mangrove-di-pantai-tanjung-pasir/,WOM Finance Berkomitmen pada Konservasi Lingkungan dengan Penanaman Mangrove di Pantai Tanjung Pasir ,WOM Finance Commits to Environmental Conservation by Planting Mangroves at Tanjung Pasir Beach
35,Tangerang,Banten,OCBC dan LindungiHutan,"Langkah Nyata CSR OCBC bagi Lingkungan melalui Penanaman 1.000 Bibit Mangrove di Desa Sukawali, Kabupaten Tangerang",1000,seedlings,1000 bibit mangrove ditanam,2024,√,https://www.ocbc.id/id/article/2025/01/02/langkah-nyata-csr-ocbc-bagi-lingkungan-melalui-penanaman,"Langkah Nyata CSR OCBC bagi Lingkungan melalui Penanaman 1.000 Bibit Mangrove di Desa Sukawali, Kabupaten Tangerang","Concrete CSR Action by OCBC for the Environment Through Planting 1,000 Mangroves in Sukawali Village, Tangerang Regency"
36,Tangerang,Banten,J&T Express dan LindungiHutan,Program CSR J&T Express Tanam 3.000 Mangrove untuk Melestarikan Lingkungan,1000,seedlings,1000 bibit mangrove ditanam,2024,√,https://www.ontime.id/program-csr-jt-express-tanam-3-000-mangrove-untuk-melestarikan-lingkungan/,Program CSR J&T Express Tanam 3.000 Mangrove untuk Melestarikan Lingkungan,"CSR Program by J&T Express Plants 3,000 Mangroves for Environmental Conservation"
37,Serang,Banten,Dewan Pimpinan Daerah (DPD) Pemuda Tani Indonesia (PTI) Provinsi Banten,"Bukan CSR PIK 2, DPD PTI Provinsi Banten Tegaskan Tanam Mangrove di Pantai Karangan Kasemen Itu Biaya Mandiri ",5000,seedlings,5000 bibit mangrove ditanam,2025,√,https://www.bantenhay.com/seputar-banten/67815611266/bukan-csr-pik-2-dpd-pti-provinsi-banten-tegaskan-tanam-mangrove-di-pantai-karangan-kasemen-itu-biaya-mandiri,"Bukan CSR PIK 2, DPD PTI Provinsi Banten Tegaskan Tanam Mangrove di Pantai Karangan Kasemen Itu Biaya Mandiri ","Not CSR by PIK 2, PTI Banten Chapter Asserts Mangrove Planting at Karangan Kasemen Beach Was Self-Funded"
38,Tangerang,Banten,CGS-CIMB Sekuritas Indonesia dan Seasoldier,"Tanam 5.000 Mangrove di Lima Wilayah, CGS-CIMB: Ayo Buat Satu Bumi Ini Lebih Hijau! ",1500,seedlings,1500 bibit mangrove ditanam,2022,√,https://www.netralnews.com/tanam-5000-mangrove-di-lima-wilayah-cgs-cimb-ayo-buat-satu-bumi-ini-lebih-hijau/amM2M21kWThBRThBdmJwR1RXTUdNQT09,"Tanam 5.000 Mangrove di Lima Wilayah, CGS-CIMB: Ayo Buat Satu Bumi Ini Lebih Hijau! ","Planting 5,000 Mangroves in Five Areas, CGS-CIMB: Let’s Make This One Earth Greener!"
39,Tangerang,Banten,Telkomsel,"Telkomsel Jaga Bumi Perkuat Implementasi ESG, Kembali Tanam 10.600 Mangrove Hasil Donasi Poin Pelanggan untuk Kurangi Emisi Karbon ",1000,seedlings,1000 bibit mangrove ditanam,2024,√,https://www.telkomsel.com/about-us/news/telkomsel-jaga-bumi-perkuat-implementasi-esg-kembali-tanam-10600-mangrove-hasil,"Telkomsel Jaga Bumi Perkuat Implementasi ESG, Kembali Tanam 10.600 Mangrove Hasil Donasi Poin Pelanggan untuk Kurangi Emisi Karbon ","Telkomsel Protects the Earth, Strengthens ESG Implementation, Plants 10,600 Mangroves from Customer Point Donations to Reduce Carbon Emissions"
40,Kota Bengkulu,Bengkulu,Pertamina Patra Niaga Regional Sumbagsel,"Komitmen Lingkungan Berkelanjutan, 2.025 Mangrove DiTanam di Bengkulu ",2025,seedlings,2025 bibit mangrove ditanam,2025,√,https://www.detik.com/sumbagsel/berita/d-7772267/komitmen-lingkungan-berkelanjutan-2-025-mangrove-ditanam-di-bengkulu,"Komitmen Lingkungan Berkelanjutan, 2.025 Mangrove DiTanam di Bengkulu ","Commitment to Environmental Sustainability, 2,025 Mangroves Planted in Bengkulu"
41,Bantul,Daerah Istimewa Yogyakarta,The Alana Malioboro dan Moana Bike Tour,"Berakar Pada Keberlanjutan: Alana Malioboro dan Moana Bike Tour Tanam 1000 Mangrove di Pantai Samas, Yogyakarta",1000,seedlings,1000 bibit mangrove ditanam ,2024,√,https://www.alanahotels.com/id/news/551,"Berakar Pada Keberlanjutan: Alana Malioboro dan Moana Bike Tour Tanam 1000 Mangrove di Pantai Samas, Yogyakarta","Rooted in Sustainability: Alana Malioboro and Moana Bike Tour Plant 1,000 Mangroves at Samas Beach, Yogyakarta"
42,Bantul,Daerah Istimewa Yogyakarta,Next Hotel Yogyakarta,Next Hotel Yogyakarta Tanam 100 Mangrove di Muara Pandansimo Bantul,100,seedlings,100 bibit mangrove ditanam,2024,√,https://women.okezone.com/read/2024/09/26/406/3068006/next-hotel-yogyakarta-tanam-100-mangrove-di-muara-pandansimo-bantul,Next Hotel Yogyakarta Tanam 100 Mangrove di Muara Pandansimo Bantul,"Next Hotel Yogyakarta Plants 100 Mangroves at Pandansimo Estuary, Bantul"
43,Bantul,Daerah Istimewa Yogyakarta,"Asosiasi Asuransi Jiwa Indonesia (AAJI) 
dan PT Asuransi Jiwa Inhealth Indonesia (Mandiri Inhealth)",Mandiri Inhealth dan AAJI Wujudkan Komitmen Keberlanjutan Melalui Aksi Penanaman Mangrove di Yogyakarta,1855,seedlings,1855 bibit mangrove ditanam ,2025,√,https://www.inhealth.co.id/news/Mandiri_Inhealth_dan_AAJI_Wujudkan_Komitmen_Keberlanjutan_Melalui_Aksi_Penanaman_Mangrove_di_Yogyakarta?n=NDU3,Mandiri Inhealth dan AAJI Wujudkan Komitmen Keberlanjutan Melalui Aksi Penanaman Mangrove di Yogyakarta,Mandiri Inhealth and AAJI Fulfill Sustainability Commitment Through Mangrove Planting in Yogyakarta
44,Bantul,Daerah Istimewa Yogyakarta,Novotel Suites Yogyakarta,"Rayakan World Ocean Days, Novotel Suites Yogyakarta Malioboro Tanam 100 Bibit Mangrove bersama KTH KP2 Baros di Pantai Baros Bantul ",100,seedlings,100 bibit mangrove ditanam,2025,√,https://ekbis.harianjogja.com/read/2025/06/09/502/1216586/rayakan-world-ocean-days-novotel-suites-yogyakarta-malioboro-tanam-100-bibit-mangrove-bersama-kth-kp2-baros-di-pantai-baros-bantul,"Rayakan World Ocean Days, Novotel Suites Yogyakarta Malioboro Tanam 100 Bibit Mangrove bersama KTH KP2 Baros di Pantai Baros Bantul ","Celebrating World Oceans Day, Novotel Suites Yogyakarta Malioboro Plants 100 Mangroves with KTH KP2 Baros at Baros Beach, Bantul"
45,Bantul,Daerah Istimewa Yogyakarta,"Ramada by Wyndham 
dan Wyndham Garden Yogyakarta",Tanam 200 Pohon Mangrove: Bukti Komitmen Ramada by Wyndham Garden Yogyakarta Peduli Lingkungan ,200,seedlings,200 bibit mangrove ditanam,2025,√,https://www.wartajogja.id/2025/01/tanam-200-pohon-mangrove-bukti-komitmen.html,Tanam 200 Pohon Mangrove: Bukti Komitmen Ramada by Wyndham Garden Yogyakarta Peduli Lingkungan ,Planting 200 Mangroves: Ramada by Wyndham Garden Yogyakarta Shows Environmental Care
46,Kulon Progo,Daerah Istimewa Yogyakarta,"Pemkab Kulon Progo dan PT Akashi Wahana Indonesia, 
PT GS Battery, 
PT Daihatsu Drivetrain Manufacturing Indonesia",Telkomsel Ternate Maknai HUT Telkomsel ke 29 dengan Program CSR Jaga Bumi Penanaman Pohon Mangrove,10000,seedlings,10000 bibit mangrove ditanam,2024,√,https://jogja.antaranews.com/berita/716719/pemkab-kulon-progo-dan-swasta-tanam-10-ribu-mangrove-di-pantai-pasir-mendit,Telkomsel Ternate Maknai HUT Telkomsel ke 29 dengan Program CSR Jaga Bumi Penanaman Pohon Mangrove,Telkomsel Ternate Commemorates 29th Anniversary with CSR Mangrove Planting Program
47,Kulon Progo,Daerah Istimewa Yogyakarta,Hotel 1O1 Style Yogyakarta Malioboro dan The 1O1 Yogyakarta Tugu,1O1 Style Yogyakarta Malioboro dan THE 1O1 Yogyakarta Tugu Tanam 200 Bibit Mangrove di Kulon Progo,200,seedlings,200 bibit mangrove ditanam,2024,√,https://www.pilar.id/1o1-style-yogyakarta-malioboro-dan-the-1o1-yogyakarta-tugu-tanam-200-bibit-mangrove-di-kulon-progo/,1O1 Style Yogyakarta Malioboro dan THE 1O1 Yogyakarta Tugu Tanam 200 Bibit Mangrove di Kulon Progo,1O1 Style Yogyakarta Malioboro and THE 1O1 Yogyakarta Tugu Plant 200 Mangroves in Kulon Progo
48,Kulon Progo,Daerah Istimewa Yogyakarta,PT Bigga Damai Utama,"Rayakan HUT ke-79 RI, PT Bigga Damai Utama Tanam 1000 Bibit Mangrove di Pantai Pasir Kadilangu DIY ",1000,seedlings,1000 bibit mangrove ditanam,2024,√,https://wartakota.tribunnews.com/2024/08/15/rayakan-hut-ke-79-ri-pt-bigga-damai-utama-tanam-1000-bibit-mangrove-di-pantai-pasir-kadilangu-diy,"Rayakan HUT ke-79 RI, PT Bigga Damai Utama Tanam 1000 Bibit Mangrove di Pantai Pasir Kadilangu DIY ","Celebrating 79th Indonesian Independence Day, PT Bigga Damai Utama Plants 1,000 Mangroves at Pasir Kadilangu Beach, Yogyakarta"
49,Kota Administrasi Jakarta Utara,DKI Jakarta,PT BRI Asuransi Indonesia/BRI Insurance (BRINS),"Peringati Hari Lingkungan Dunia, BRI Insurance Tanam 2000 Bibit Mangrove",3000,seedlings,3000 bibit mangrove ditanam,2022,√,https://mediaindonesia.com/humaniora/497771/peringati-hari-lingkungan-dunia-bri-insurance-tanam-2000-bibit-mangrove,"Peringati Hari Lingkungan Dunia, BRI Insurance Tanam 2000 Bibit Mangrove","Commemorating World Environment Day, BRI Insurance Plants 2,000 Mangroves"
50,Kota Administrasi Jakarta Utara,DKI Jakarta,Yayasan WINGS Peduli,Yayasan WINGS Peduli Tanam 500 Mangrove dalam Program #WINGSPeduliLingkungan,500,seedlings,500 bibit mangrove ditanam,2024,√,https://blog-backup.lindungihutan.com/yayasan-wings-peduli-tanam-mangrove/,Yayasan WINGS Peduli Tanam 500 Mangrove dalam Program #WINGSPeduliLingkungan,WINGS Foundation Plants 500 Mangroves under #WINGSCaresForTheEnvironment Program
